C	opt num of features	accuracy
0.01	11	0.7821782178217822
0.02	44	0.6732673267326733
0.03	94	0.6831683168316832
0.04	38	0.6633663366336634
0.05	127	0.6831683168316832
0.06	136	0.7029702970297029
0.07	105	0.7128712871287128
0.08	101	0.7227722772277227
0.09	96	0.7128712871287128
0.1	98	0.6831683168316832
