	0.0	1.0	accuracy	macro avg	weighted avg
precision	0.8333333333333334	0.2631578947368421	0.5405405405405406	0.5482456140350878	0.7100521574205785
recall	0.5172413793103449	0.625	0.5405405405405406	0.5711206896551724	0.5405405405405406
f1-score	0.6382978723404256	0.37037037037037035	0.5405405405405406	0.504334121355398	0.5803676016441973
support	29.0	8.0	0.5405405405405406	37.0	37.0
