	0.0	1.0	accuracy	macro avg	weighted avg
precision	0.8	0.3333333333333333	0.625	0.5666666666666667	0.6833333333333335
recall	0.6666666666666666	0.5	0.625	0.5833333333333333	0.625
f1-score	0.7272727272727272	0.4	0.625	0.5636363636363636	0.6454545454545454
support	6.0	2.0	0.625	8.0	8.0
