C	opt num of features	accuracy
0.01	5	0.75
0.02	102	0.7241379310344828
0.03	91	0.6896551724137931
0.04	24	0.6637931034482759
0.05	152	0.6637931034482759
0.06	51	0.6724137931034483
0.07	38	0.6637931034482759
0.08	147	0.6551724137931034
0.09	42	0.6724137931034483
0.1	32	0.6551724137931034
