	0.0	1.0	3.0	accuracy	macro avg	weighted avg
precision	0.8636363636363636	0.6	0.0	0.7096774193548387	0.48787878787878786	0.7653958944281525
recall	0.7916666666666666	0.6	0.0	0.7096774193548387	0.46388888888888885	0.7096774193548387
f1-score	0.8260869565217391	0.6	0.0	0.7096774193548387	0.4753623188405797	0.7363253856942497
support	24.0	5.0	2.0	0.7096774193548387	31.0	31.0
