	0.0	1.0	3.0	accuracy	macro avg	weighted avg
precision	1.0	0.5	0.0	0.5	0.5	0.9
recall	0.375	1.0	0.0	0.5	0.4583333333333333	0.5
f1-score	0.5454545454545454	0.6666666666666666	0.0	0.5	0.404040404040404	0.5696969696969696
support	8.0	2.0	0.0	0.5	10.0	10.0
