C	opt num of features	accuracy
0.01	166	0.7606837606837606
0.02	141	0.7948717948717948
0.03	170	0.8034188034188035
0.04	174	0.8205128205128205
0.05	177	0.8205128205128205
0.06	175	0.8290598290598291
0.07	188	0.8376068376068376
0.08	172	0.8461538461538461
0.09	160	0.8461538461538461
0.1	176	0.8461538461538461
