C	opt num of features	accuracy
0.01	2	1.0
0.02	2	0.8484848484848485
0.03	3	0.48484848484848486
0.04	3	0.48484848484848486
0.05	3	0.48484848484848486
0.06	4	0.45454545454545453
0.07	3	0.42424242424242425
0.08	2	0.42424242424242425
0.09	2	0.42424242424242425
0.1	2	0.42424242424242425
