	0.0	1.0	accuracy	macro avg	weighted avg
precision	0.8333333333333334	0.6666666666666666	0.75	0.75	0.763888888888889
recall	0.7142857142857143	0.8	0.75	0.7571428571428571	0.75
f1-score	0.7692307692307692	0.7272727272727272	0.75	0.7482517482517481	0.7517482517482517
support	7.0	5.0	0.75	12.0	12.0
