C	opt num of features	accuracy
0.01	45	0.5833333333333334
0.02	78	0.5625
0.03	26	0.5833333333333334
0.04	27	0.5833333333333334
0.05	23	0.625
0.06	36	0.6458333333333334
0.07	43	0.6458333333333334
0.08	35	0.625
0.09	71	0.625
0.1	63	0.625
