C	opt num of features	accuracy
0.01	44	0.8188405797101449
0.02	151	0.8478260869565217
0.03	51	0.8260869565217391
0.04	66	0.8188405797101449
0.05	41	0.8115942028985508
0.06	34	0.8188405797101449
0.07	44	0.8188405797101449
0.08	32	0.8260869565217391
0.09	48	0.8188405797101449
0.1	174	0.8260869565217391
