	0.0	1.0	3.0	accuracy	macro avg	weighted avg
precision	0.8571428571428571	0.5	0.25	0.7096774193548387	0.5357142857142857	0.76036866359447
recall	0.75	0.6	0.5	0.7096774193548387	0.6166666666666667	0.7096774193548387
f1-score	0.7999999999999999	0.5454545454545454	0.3333333333333333	0.7096774193548387	0.5595959595959595	0.7288367546432063
support	24.0	5.0	2.0	0.7096774193548387	31.0	31.0
