	0.0	1.0	accuracy	macro avg	weighted avg
precision	0.5555555555555556	0.2	0.42857142857142855	0.37777777777777777	0.42857142857142855
recall	0.5555555555555556	0.2	0.42857142857142855	0.37777777777777777	0.42857142857142855
f1-score	0.5555555555555556	0.20000000000000004	0.42857142857142855	0.3777777777777778	0.42857142857142855
support	9.0	5.0	0.42857142857142855	14.0	14.0
