	0.0	1.0	accuracy	macro avg	weighted avg
precision	0.3333333333333333	0.125	0.21428571428571427	0.22916666666666666	0.25892857142857145
recall	0.2222222222222222	0.2	0.21428571428571427	0.2111111111111111	0.21428571428571427
f1-score	0.26666666666666666	0.15384615384615385	0.21428571428571427	0.21025641025641026	0.22637362637362637
support	9.0	5.0	0.21428571428571427	14.0	14.0
