	0.0	1.0	accuracy	macro avg	weighted avg
precision	0.375	0.0	0.21428571428571427	0.1875	0.24107142857142858
recall	0.3333333333333333	0.0	0.21428571428571427	0.16666666666666666	0.21428571428571427
f1-score	0.35294117647058826	0.0	0.21428571428571427	0.17647058823529413	0.22689075630252103
support	9.0	5.0	0.21428571428571427	14.0	14.0
