	0.0	1.0	accuracy	macro avg	weighted avg
precision	0.2857142857142857	0.0	0.14285714285714285	0.14285714285714285	0.18367346938775508
recall	0.2222222222222222	0.0	0.14285714285714285	0.1111111111111111	0.14285714285714285
f1-score	0.25	0.0	0.14285714285714285	0.125	0.16071428571428573
support	9.0	5.0	0.14285714285714285	14.0	14.0
