	0.0	1.0	accuracy	macro avg	weighted avg
precision	0.625	0.3333333333333333	0.5	0.47916666666666663	0.5208333333333333
recall	0.5555555555555556	0.4	0.5	0.4777777777777778	0.5
f1-score	0.5882352941176471	0.3636363636363636	0.5	0.47593582887700536	0.5080213903743315
support	9.0	5.0	0.5	14.0	14.0
