	0.0	1.0	accuracy	macro avg	weighted avg
precision	0.75	0.4	0.5	0.575	0.625
recall	0.3333333333333333	0.8	0.5	0.5666666666666667	0.5
f1-score	0.46153846153846156	0.5333333333333333	0.5	0.49743589743589745	0.4871794871794872
support	9.0	5.0	0.5	14.0	14.0
