	0.0	1.0	accuracy	macro avg	weighted avg
precision	0.6	0.3333333333333333	0.42857142857142855	0.4666666666666667	0.5047619047619047
recall	0.3333333333333333	0.6	0.42857142857142855	0.4666666666666667	0.42857142857142855
f1-score	0.42857142857142855	0.42857142857142855	0.42857142857142855	0.42857142857142855	0.42857142857142855
support	9.0	5.0	0.42857142857142855	14.0	14.0
