	0.0	1.0	accuracy	macro avg	weighted avg
precision	0.6666666666666666	0.375	0.5	0.5208333333333333	0.5625
recall	0.4444444444444444	0.6	0.5	0.5222222222222221	0.5
f1-score	0.5333333333333333	0.4615384615384615	0.5	0.49743589743589745	0.5076923076923077
support	9.0	5.0	0.5	14.0	14.0
