	0.0	1.0	accuracy	macro avg	weighted avg
precision	0.5	0.25	0.35714285714285715	0.375	0.4107142857142857
recall	0.3333333333333333	0.4	0.35714285714285715	0.3666666666666667	0.35714285714285715
f1-score	0.4	0.3076923076923077	0.35714285714285715	0.35384615384615387	0.36703296703296706
support	9.0	5.0	0.35714285714285715	14.0	14.0
