	0.0	1.0	accuracy	macro avg	weighted avg
precision	0.5	0.3333333333333333	0.35714285714285715	0.41666666666666663	0.4404761904761904
recall	0.1111111111111111	0.8	0.35714285714285715	0.4555555555555556	0.35714285714285715
f1-score	0.1818181818181818	0.47058823529411764	0.35714285714285715	0.3262032085561497	0.2849503437738732
support	9.0	5.0	0.35714285714285715	14.0	14.0
